character,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,cond9,cond10
肉食系,すきやき,しゃぶしゃぶ,焼肉,ハンバーグ,,,,,,
草食系,精進料理,オーガニック料理,豆腐料理,,,,,,,
おしゃれ,オイスターバー,オーガニック料理,フレンチ,イタリアン,バー,,,,,
素朴,郷土料理,居酒屋,,,,,,,,
無難,居酒屋,回転寿司,ファミリーレストラン,,,,,,,
マニアック,きりたんぽ鍋,釜飯,鴨料,,,,,,,
渋い,割烹,懐石料理,小料理,,,,,,,
枯れ専,会席料理,料亭,精進料理,パブ・スナック,,,,,,
ぽっちゃり,ホルモン,ハンバーグ,豚肉料理,ラーメン,とんかつ,ピザ,,,,
アーティスティック,創作和食,創作料理,無国籍料理,ちゃんこ鍋,,,,,,
韓流,焼肉,サムギョプサル,マッコリ,,,,,,,
